Date,Close/Last,Volume,Open,High,Low
06/29/2020,378.3994,--,369.1652,379.2439,365.7008
06/26/2020,365.775,--,374.8688,375.1817,365.1947
06/25/2020,375.5559,--,368.9776,375.5793,365.543
06/24/2020,373.3213,--,379.4484,381.4953,368.2727
06/23/2020,383.3787,--,387.3843,387.9145,382.9407
06/22/2020,381.3182,--,382.6051,383.1104,377.991
06/19/2020,382.1831,--,387.6033,389.7531,381.4936
06/18/2020,382.084,--,377.224,384.9697,376.9243
06/17/2020,378.3747,--,387.1638,387.4849,377.6012
06/16/2020,385.5984,--,391.708,391.7524,378.8892
06/15/2020,378.7009,--,358.5723,379.8492,357.75
06/12/2020,369.236,--,374.4159,376.3117,360.6216
06/11/2020,361.3588,--,369.146,375.3018,360.7967
06/10/2020,388.6408,--,392.3035,393.3256,384.9171
06/09/2020,390.1378,--,386.7058,392.861,383.8602
06/08/2020,393.5363,--,389.1655,393.6291,388.3038
06/05/2020,383.2327,--,382.6692,386.7485,380.6342
06/04/2020,372.0057,--,371.1411,375.6266,368.5282
06/03/2020,371.4712,--,365.2546,372.8739,365.1424
06/02/2020,360.1117,--,361.7175,362.8212,356.4474
06/01/2020,359.4055,--,350.0971,360.4582,349.8711
05/29/2020,350.3219,--,344.2615,350.5476,342.975
05/28/2020,345.4348,--,354.2093,355.1358,344.5097
05/27/2020,354.6346,--,352.8753,354.7894,341.8173
05/26/2020,349.5893,--,347.8469,352.7103,347.6334
05/22/2020,335.9904,--,339.0279,339.0279,333.8194
05/21/2020,338.5202,--,340.4867,342.6944,334.4411
05/20/2020,343.2106,--,344.1201,347.8975,341.1056
05/19/2020,337.0002,--,336.7083,344.0523,335.697
05/18/2020,337.7093,--,328.3942,338.6775,328.342
05/15/2020,315.3296,--,311.2372,316.0773,309.4963
05/14/2020,315.6289,--,306.6192,315.6289,300.7511
05/13/2020,313.0764,--,323.8972,324.6749,308.5886
05/12/2020,324.1676,--,334.9555,337.8311,324.0287
05/11/2020,333.2574,--,328.8781,335.1676,327.9297
05/08/2020,334.5847,--,327.8188,334.5847,324.3509
05/07/2020,321.6427,--,320.1438,322.4503,316.3367
05/06/2020,316.7413,--,313.7647,318.9233,311.7688
05/05/2020,309.2538,--,313.5344,316.4246,308.0754
05/04/2020,306.5286,--,298.1554,306.6294,297.1573
05/01/2020,301.9899,--,310.0072,312.3654,297.728
04/30/2020,319.5787,--,329.6051,329.9083,318.4466
04/29/2020,332.9096,--,322.958,333.7419,322.6076
04/28/2020,313.8094,--,317.5638,318.7314,309.4794
04/27/2020,310.622,--,300.3626,311.0469,299.8995
04/24/2020,297.0027,--,296.2286,298.1055,291.799
04/23/2020,294.328,--,294.8359,299.9066,293.5352
04/22/2020,293.2602,--,288.1989,294.1762,286.7298
04/21/2020,280.3084,--,287.6469,291.5423,279.7722
04/20/2020,294.7317,--,292.9599,300.333,292.1301
04/17/2020,300.6139,--,302.351,303.7383,297.8059
04/16/2020,292.1224,--,292.3158,294.2955,287.5184
04/15/2020,290.7938,--,293.3132,294.848,287.4681
04/14/2020,300.2217,--,298.6713,305.5207,296.5526
04/13/2020,288.1478,--,285.224,288.6051,278.4496
04/09/2020,285.5002,--,285.7971,292.4031,281.6015
04/08/2020,278.7351,--,272.3126,279.8926,268.6146
04/07/2020,268.0696,--,276.2654,279.4188,267.0577
04/06/2020,263.3212,--,253.328,264.1197,252.4153
04/03/2020,240.6393,--,246.102,248.5351,237.401
04/02/2020,243.4172,--,241.8903,252.6398,239.0756
04/01/2020,243.4688,--,250.1676,253.9936,241.7045
03/31/2020,262.4697,--,261.0745,268.6091,258.3517
03/30/2020,260.5948,--,259.5727,261.325,255.2292
03/27/2020,259.1222,--,264.7559,266.0392,258.8973
03/26/2020,276.9602,--,272.1939,279.525,270.2175
03/25/2020,269.6628,--,262.7929,278.9009,253.8039
03/24/2020,257.3132,--,242.3195,257.5467,242.2633
03/23/2020,225.6338,--,230.705,231.8894,217.6227
03/20/2020,231.0059,--,241.3878,250.0774,230.3497
03/19/2020,235.5137,--,220.5929,240.8162,214.1527
03/18/2020,220.9867,--,238.4705,241.1785,212.7548
03/17/2020,253.291,--,241.462,253.8805,228.5558
03/16/2020,237.7832,--,261.2118,261.2118,237.4121
03/13/2020,277.8731,--,282.5003,285.1438,259.0439
03/12/2020,267.2889,--,283.4113,283.5259,265.4715
03/11/2020,301.8708,--,314.9579,317.6708,296.6316
03/10/2020,322.9112,--,322.9644,324.6507,309.3018
03/09/2020,309.8535,--,324.3719,325.5236,309.5422
03/06/2020,346.7182,--,347.9354,350.0869,340.228
03/05/2020,356.6664,--,354.9105,361.1391,353.1691
03/04/2020,363.0424,--,360.2196,363.0529,354.9128
03/03/2020,353.6931,--,363.0415,367.5087,348.5906
03/02/2020,356.5055,--,349.0303,356.5377,340.3149
02/28/2020,342.802,--,327.5797,344.1631,325.8793
02/27/2020,342.015,--,349.3286,356.2758,338.3535
02/26/2020,362.803,--,364.876,372.358,361.7609
02/25/2020,367.4835,--,386.3526,387.0442,366.5938
02/24/2020,379.8806,--,381.025,384.05,379.1081
02/21/2020,397.262,--,400.9057,401.177,393.2931
02/20/2020,404.5704,--,401.0733,407.0133,394.5461
02/19/2020,401.863,--,393.5934,402.0615,393.3296
02/18/2020,384.1095,--,380.3184,384.9233,380.3184
02/14/2020,379.2014,--,379.6544,381.7166,377.8303
02/13/2020,380.0317,--,373.1064,381.5588,372.5096
02/12/2020,378.4993,--,375.1833,378.8018,375.1711
02/11/2020,372.1726,--,368.078,373.9237,367.6068
02/10/2020,366.4264,--,363.2227,367.3811,362.793
02/07/2020,360.5305,--,364.1091,365.4862,358.8848
02/06/2020,366.8202,--,364.1931,370.993,362.4215
02/05/2020,365.6626,--,370.9359,372.6477,360.9807
02/04/2020,373.8575,--,365.8102,380.0191,364.5548
02/03/2020,354.503,--,345.1452,355.8103,344.5715
01/31/2020,344.1331,--,347.2072,349.5299,342.4462
01/30/2020,349.9906,--,346.7714,350.7359,345.8535
01/29/2020,346.0636,--,348.5537,348.8231,344.5214
01/28/2020,346.7404,--,342.8666,347.41,341.8392
01/27/2020,339.4245,--,340.9704,342.4465,338.5736
01/24/2020,351.136,--,356.5672,356.5716,349.0032
01/23/2020,354.4228,--,350.959,354.7214,348.0919
01/22/2020,352.3315,--,356.3432,357.6365,350.9031
01/21/2020,353.3651,--,350.5966,354.1994,349.5205
01/17/2020,350.4142,--,349.5237,350.7947,348.6553
01/16/2020,348.6906,--,347.0601,349.0251,345.774
01/15/2020,346.5994,--,346.6346,348.8027,345.4902
01/14/2020,347.804,--,346.4739,350.2409,343.4135
01/13/2020,344.7283,--,338.616,345.2288,338.616
01/10/2020,335.2622,--,336.6888,337.4664,334.5229
01/09/2020,336.1239,--,338.1773,338.638,333.9179
01/08/2020,336.2872,--,332.5837,337.6918,332.0959
01/07/2020,333.0719,--,331.3556,334.3893,330.5628
01/06/2020,330.1516,--,327.1139,330.2337,326.4961
01/03/2020,329.748,--,326.8619,331.1068,326.6056
01/02/2020,330.2998,--,327.961,330.3033,325.1767
12/31/2019,324.9099,--,321.9418,326.1376,321.909
12/30/2019,323.5155,--,324.6273,326.6484,320.5142
12/27/2019,323.7758,--,326.9406,326.979,323.1925
12/26/2019,326.1539,--,323.8256,326.3183,323.2977
12/24/2019,323.1336,--,322.4525,323.1367,321.0798
12/23/2019,322.5671,--,321.0587,322.5886,320.3653
12/20/2019,319.9206,--,319.4992,320.5176,319.3527
12/19/2019,318.2027,--,317.2932,318.7816,316.3591
12/18/2019,316.7072,--,314.7904,316.8949,313.8572
12/17/2019,314.5083,--,313.2555,314.603,312.7417
12/16/2019,312.8934,--,309.9688,314.3815,309.9604
12/13/2019,307.6499,--,307.862,310.8577,306.396
12/12/2019,307.9657,--,304.4873,308.198,304.3748
12/11/2019,304.2103,--,301.8065,304.5691,301.8024
12/10/2019,301.1003,--,299.4145,301.7724,299.1458
12/09/2019,299.5183,--,301.4422,302.044,299.5183
12/06/2019,301.5383,--,300.5494,302.3855,300.3978
12/05/2019,298.027,--,299.8738,300.2582,297.4246
12/04/2019,299.0094,--,298.8216,301.3233,298.8216
12/03/2019,296.8933,--,293.98,297.1702,293.2244
12/02/2019,297.6269,--,299.1992,299.6923,296.5536
11/29/2019,298.5961,--,300.8544,300.9616,298.4577
11/27/2019,302.0812,--,297.7084,302.0913,297.6782
11/26/2019,297.1349,--,296.6982,297.2063,296.039
11/25/2019,296.5579,--,292.6719,296.6266,292.3779
11/22/2019,290.8446,--,291.4999,291.5695,288.6096
11/21/2019,292.3002,--,293.6952,294.5099,291.5043
11/20/2019,293.0781,--,295.3893,296.4692,291.8876
11/19/2019,296.3153,--,296.909,297.3817,293.7061
11/18/2019,295.4913,--,296.7973,296.8557,295.1458
11/15/2019,297.0859,--,295.7136,297.326,295.5511
11/14/2019,293.7302,--,292.4464,294.0793,291.1168
11/13/2019,292.5966,--,294.6257,294.6257,292.1313
11/12/2019,295.4325,--,296.1481,298.6696,294.7044
11/11/2019,294.9519,--,293.7129,295.4902,293.4293
11/08/2019,294.047,--,293.4144,294.1474,292.4413
11/07/2019,294.4443,--,294.9086,297.3163,293.7996
11/06/2019,293.7366,--,295.2091,295.4994,292.1394
11/05/2019,295.6412,--,293.0305,296.1197,292.9221
11/04/2019,292.149,--,291.4951,292.829,289.8935
11/01/2019,289.0283,--,287.007,289.0902,285.8246
10/31/2019,286.064,--,285.2714,286.5975,283.5923
10/30/2019,284.1819,--,286.2819,286.7331,282.7993
10/29/2019,288.4314,--,289.553,290.3705,288.2868
10/28/2019,290.3527,--,289.4819,291.531,289.4819
10/25/2019,287.4975,--,285.2112,287.6599,281.1119
10/24/2019,285.2284,--,285.9804,286.6418,283.6304
10/23/2019,279.4516,--,278.4569,280.3088,277.6153
10/22/2019,279.5886,--,281.7649,282.3754,278.3237
10/21/2019,281.9019,--,281.4725,282.8947,281.0721
10/18/2019,279.528,--,279.3849,281.1372,277.3547
10/17/2019,280.0306,--,279.5326,280.9788,278.8076
10/16/2019,277.9932,--,278.9822,279.387,277.0278
10/15/2019,279.5673,--,278.0672,280.2599,277.2933
10/14/2019,277.5485,--,277.2762,278.0767,276.9524
10/11/2019,277.9935,--,277.5092,280.0934,277.4788
10/10/2019,274.4281,--,273.3226,277.333,273.1357
10/09/2019,272.6614,--,273.093,273.7116,271.7863
10/08/2019,270.531,--,271.9799,274.0515,270.2381
10/07/2019,274.1856,--,275.8658,276.0704,273.7716
10/04/2019,275.3588,--,272.1346,275.4394,271.544
10/03/2019,271.6517,--,268.9781,271.7914,265.6928
10/02/2019,269.8445,--,271.3103,272.019,267.6163
10/01/2019,274.5309,--,280.7852,281.0393,273.5959
09/30/2019,279.5397,--,278.9354,280.3544,277.4003
09/27/2019,278.116,--,282.7678,283.0884,276.3814
09/26/2019,282.572,--,286.1048,286.3282,282.0679
09/25/2019,285.4454,--,282.2938,285.7369,280.6372
09/24/2019,283.0451,--,292.9303,292.9303,282.3098
09/23/2019,291.9833,--,289.5794,293.6159,289.2219
09/20/2019,290.1638,--,292.0783,292.975,288.5275
09/19/2019,291.5064,--,289.7393,293.7527,289.7268
09/18/2019,288.7642,--,289.0086,289.5695,285.9278
09/17/2019,289.2018,--,285.5273,289.5095,285.3059
09/16/2019,286.7629,--,285.9051,288.1409,285.196
09/13/2019,286.3302,--,285.7525,287.298,285.232
09/12/2019,284.7887,--,287.6521,287.8516,283.0407
09/11/2019,287.5612,--,282.4676,287.8807,280.7905
09/10/2019,281.1742,--,278.6919,281.2132,276.4332
09/09/2019,280.3256,--,282.0716,282.4704,278.9252
09/06/2019,280.6797,--,281.3912,282.1869,279.7644
09/05/2019,280.6673,--,279.7482,283.0122,279.2818
09/04/2019,276.1769,--,273.9352,276.3216,273.8915
09/03/2019,271.0919,--,273.0929,274.7998,270.2769
08/30/2019,276.1561,--,278.6317,278.9743,274.4464
08/29/2019,276.0022,--,275.9424,277.2568,274.7179
08/28/2019,272.5705,--,269.4496,273.4896,268.6549
08/27/2019,270.4913,--,274.5142,275.4233,269.7854
08/26/2019,272.6328,--,273.1615,273.4838,271.179
08/23/2019,270.2724,--,277.0088,278.7624,269.7881
08/22/2019,279.3575,--,281.9519,282.2221,277.5968
08/21/2019,281.8472,--,283.7356,284.0254,280.9204
08/20/2019,281.8375,--,282.1737,283.0058,280.6184
08/19/2019,282.3897,--,282.5927,283.7493,281.02
08/16/2019,277.9415,--,273.1718,278.2943,273.1568
08/15/2019,271.317,--,273.8366,274.0184,269.3998
08/14/2019,272.83,--,278.1784,278.2855,272.3775
08/13/2019,283.3864,--,277.8098,285.9465,276.929
08/12/2019,278.6694,--,280.7746,281.1355,277.696
08/09/2019,282.5647,--,286.4499,286.5088,282.2263
08/08/2019,288.4489,--,283.0242,288.4596,282.7128
08/07/2019,282.031,--,274.7894,282.4335,274.3395
08/06/2019,275.9097,--,275.053,277.2719,272.7071
08/05/2019,271.4339,--,276.77,276.77,268.75
08/02/2019,284.0171,--,285.9706,286.0402,281.3647
08/01/2019,286.7818,--,290.2541,296.6502,285.849
07/31/2019,288.7576,--,292.0703,293.2923,286.7518
07/30/2019,290.6655,--,286.3427,290.675,285.7093
07/29/2019,288.6408,--,287.9169,288.7254,285.6509
07/26/2019,288.1856,--,287.5816,288.7628,286.542
07/25/2019,286.8762,--,289.547,289.6279,286.0667
07/24/2019,293.9039,--,289.0949,294.3171,288.667
07/23/2019,289.1774,--,287.7788,289.2563,286.8233
07/22/2019,286.1903,--,286.0072,287.869,285.5172
07/19/2019,285.6584,--,285.6454,287.8604,285.5582
07/18/2019,284.9496,--,283.281,285.3896,282.8959
07/17/2019,283.3475,--,283.8966,285.0118,282.4532
07/16/2019,283.2837,--,282.4485,284.5548,281.7417
07/15/2019,283.688,--,283.5819,283.7647,281.5137
07/12/2019,282.3783,--,279.4548,282.595,279.3317
07/11/2019,278.4827,--,281.1252,281.1252,277.5995
07/10/2019,280.6776,--,281.9152,282.5789,279.4409
07/09/2019,280.1418,--,277.7105,280.1418,277.6187
07/08/2019,278.9462,--,279.97,280.0585,278.3991
07/05/2019,281.5922,--,279.6678,281.7936,277.5172
07/03/2019,281.2148,--,280.1651,281.9579,280.0165
07/02/2019,278.26,--,279.9081,279.9081,276.5075
07/01/2019,279.6714,--,282.3032,283.3539,278.2975
06/28/2019,276.2675,--,275.7226,276.5205,274.5165
06/27/2019,274.5542,--,270.8203,274.6178,270.7756
06/26/2019,269.6932,--,269.7561,271.4283,269.3568
06/25/2019,267.5314,--,271.5925,271.7696,267.4215
06/24/2019,271.5221,--,272.864,273.0829,271.2681
06/21/2019,271.6586,--,272.4819,272.5928,270.319
06/20/2019,273.6848,--,274.5686,275.1268,271.6282
06/19/2019,271.5187,--,271.6341,271.7514,269.2958
06/18/2019,270.8004,--,266.6184,272.7554,266.6184
06/17/2019,263.501,--,262.758,264.7993,262.3387
06/14/2019,262.7238,--,265.3789,265.3789,261.8027
06/13/2019,267.5051,--,264.8079,267.7016,264.6458
06/12/2019,263.4805,--,266.3789,266.7203,263.3344
06/11/2019,267.0374,--,268.7416,269.3235,265.4817
06/10/2019,266.0282,--,263.4621,267.4425,263.2372
06/07/2019,260.7572,--,259.1126,261.9708,258.8419
06/06/2019,257.6525,--,256.6623,258.3619,255.2235
06/05/2019,256.385,--,257.8927,258.2159,253.4698
06/04/2019,256.1649,--,251.1126,256.2654,251.042
06/03/2019,248.3494,--,246.8498,250.1991,246.7322
05/31/2019,246.3039,--,246.8634,248.1277,245.5296
05/30/2019,251.2165,--,251.784,253.6124,250.0138
05/29/2019,251.3707,--,251.8694,253.2612,250.0274
05/28/2019,253.9784,--,254.4957,255.7835,253.2711
05/24/2019,253.7359,--,255.251,255.7618,253.1569
05/23/2019,253.1095,--,255.6598,255.7844,251.1331
05/22/2019,258.5494,--,258.7059,260.793,258.2327
05/21/2019,260.5633,--,257.2708,261.2385,257.2708
05/20/2019,255.4194,--,255.7931,256.651,253.8639
05/17/2019,259.1769,--,262.7508,264.072,259.156
05/16/2019,265.5682,--,264.6663,267.9876,264.4125
05/15/2019,265.2708,--,260.8484,265.8285,260.5787
05/14/2019,262.6017,--,260.5979,263.4307,260.0281
05/13/2019,258.6842,--,263.2732,263.8766,257.6975
05/10/2019,268.9343,--,267.3048,269.7963,265.0236
05/09/2019,268.7682,--,268.4019,269.5465,265.4715
05/08/2019,271.8167,--,275.6313,275.79,271.7609
05/07/2019,276.9766,--,277.4441,278.7891,274.7009
05/06/2019,277.9472,--,274.752,278.5585,274.1629
05/03/2019,280.3283,--,277.1786,280.8514,277.1646
05/02/2019,273.3223,--,270.5942,274.2302,269.9409
05/01/2019,271.8275,--,275.5464,276.4467,271.742
04/30/2019,274.4439,--,274.8211,275.1513,272.1086
04/29/2019,274.6927,--,276.5637,276.8171,274.455
04/26/2019,275.5212,--,273.6408,275.5396,272.1967
04/25/2019,274.6306,--,278.1329,278.1329,273.6333
04/24/2019,278.9193,--,279.4045,281.6907,278.8817
04/23/2019,278.4952,--,276.9803,279.4761,275.7901
04/22/2019,277.1974,--,277.9869,278.4081,276.8661
04/18/2019,278.8574,--,278.3786,279.4425,277.0192
04/17/2019,278.4955,--,280.6585,281.1114,277.7635
04/16/2019,278.8882,--,277.7798,279.3209,277.6314
04/15/2019,276.5289,--,277.65,277.7594,274.9752
04/12/2019,277.2203,--,276.9759,277.4695,275.9583
04/11/2019,275.3345,--,276.3762,276.3824,274.6119
04/10/2019,277.082,--,274.9507,277.4717,274.8561
04/09/2019,274.0198,--,276.4737,276.658,273.7645
04/08/2019,277.3835,--,276.0662,277.4116,275.1451
04/05/2019,276.1256,--,273.9867,276.2974,273.7311
04/04/2019,272.9616,--,271.0498,273.0562,270.9358
04/03/2019,272.9208,--,269.9258,274.7889,269.9258
04/02/2019,267.847,--,268.0177,268.192,266.032
04/01/2019,268.0698,--,265.7026,268.138,265.0811
03/29/2019,262.5738,--,262.6857,263.1279,261.3881
03/28/2019,260.8215,--,259.3876,261.8296,258.8709
03/27/2019,259.5876,--,260.8201,261.2786,257.0839
03/26/2019,260.3643,--,261.8605,262.7772,258.8855
03/25/2019,260.0466,--,260.3705,261.0418,257.3313
03/22/2019,261.7118,--,269.271,269.273,261.6835
03/21/2019,270.6695,--,267.4065,272.0498,267.2846
03/20/2019,268.385,--,270.0717,270.3947,265.6839
03/19/2019,269.961,--,270.6395,272.0785,269.2917
03/18/2019,269.735,--,269.0238,270.4819,267.4407
03/15/2019,268.7975,--,268.9865,270.6899,268.1963
03/14/2019,268.1879,--,270.0791,270.2085,267.9764
03/13/2019,269.6906,--,269.2916,270.6405,269.0819
03/12/2019,268.4903,--,268.5174,269.2099,267.6067
03/11/2019,268.2921,--,264.0016,268.3105,263.0586
03/08/2019,262.9268,--,259.9231,263.0677,259.4383
03/07/2019,262.6751,--,264.5813,265.0512,261.3879
03/06/2019,265.0406,--,269.0283,269.5448,264.8187
03/05/2019,269.2241,--,270.6221,271.1162,269.0326
03/04/2019,270.7016,--,273.5345,273.595,268.4171
03/01/2019,272.1059,--,273.7503,273.8049,270.4335
02/28/2019,272.8682,--,273.2643,274.0038,271.3363
02/27/2019,274.0278,--,271.8583,274.1305,270.6015
02/26/2019,273.516,--,272.9139,274.4443,272.4272
02/25/2019,274.9804,--,276.2464,277.8385,274.8382
02/22/2019,273.9435,--,270.21,273.9618,269.8504
02/21/2019,267.1929,--,266.2836,268.871,266.2432
02/20/2019,266.5459,--,266.8361,267.7946,266.0526
02/19/2019,266.4113,--,264.8823,267.2549,264.6854
02/15/2019,265.3376,--,264.6367,265.3579,263.9445
02/14/2019,263.6896,--,261.9279,264.7388,261.3703
