"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2019","2.8045","2.8005","2.8005","2.8005","6.99K","1.08%"
"Dec 06, 2019","2.7745","2.7705","2.7705","2.7705","5.03K","2.27%"
"Dec 05, 2019","2.7130","2.7090","2.7090","2.7090","3.03K","0.24%"
"Dec 04, 2019","2.7065","2.7025","2.7025","2.7025","3.82K","1.27%"
"Dec 03, 2019","2.6725","2.6685","2.6685","2.6685","3.19K","-1.07%"
"Dec 02, 2019","2.7015","2.6975","2.6975","2.6975","2.84K","-0.35%"
"Nov 29, 2019","2.7110","2.7070","2.7070","2.7070","2.00K","1.54%"
"Nov 28, 2019","2.6700","2.6940","2.6950","2.6670","-","-2.59%"
"Nov 27, 2019","2.7410","2.7370","2.7370","2.7370","0.03K","-0.11%"
"Nov 26, 2019","2.7440","2.7400","2.7400","2.7400","4.72K","1.35%"
"Nov 25, 2019","2.7075","2.7035","2.7035","2.7035","1.71K","0.09%"
"Nov 22, 2019","2.7050","2.7010","2.7010","2.7010","0.01K","0.71%"
"Nov 21, 2019","2.6860","2.6820","2.6820","2.6820","1.70K","-0.89%"
"Nov 20, 2019","2.7100","2.7060","2.7060","2.7060","2.52K","-0.26%"
"Nov 19, 2019","2.7170","2.7130","2.7130","2.7130","3.18K","1.34%"
"Nov 18, 2019","2.6810","2.6770","2.6770","2.6770","3.45K","-0.61%"
"Nov 15, 2019","2.6975","2.6935","2.6935","2.6935","1.78K","0.52%"
"Nov 14, 2019","2.6835","2.6795","2.6795","2.6795","2.91K","-0.56%"
"Nov 13, 2019","2.6985","2.7065","2.7065","2.7065","0.00K","-0.22%"
"Nov 12, 2019","2.7045","2.7005","2.7005","2.7005","1.51K","-0.55%"
"Nov 11, 2019","2.7195","2.7155","2.7155","2.7155","2.89K","-0.55%"
"Nov 08, 2019","2.7345","2.7635","2.7635","2.7490","0.00K","-1.49%"
"Nov 07, 2019","2.7760","2.7720","2.7720","2.7720","4.40K","2.21%"
"Nov 06, 2019","2.7160","2.7120","2.7120","2.7120","2.19K","-1.20%"
"Nov 05, 2019","2.7490","2.7450","2.7450","2.7450","1.15K","1.01%"
"Nov 04, 2019","2.7215","2.7175","2.7175","2.7175","2.66K","0.81%"
"Nov 01, 2019","2.6995","2.6955","2.6955","2.6955","1.43K","0.37%"
"Oct 31, 2019","2.6895","2.6855","2.6855","2.6855","0.02K","-1.65%"
"Oct 30, 2019","2.7345","2.7305","2.7305","2.7305","0.00K","-0.26%"
"Oct 29, 2019","2.7415","2.7375","2.7375","2.7375","0.38K","0.22%"
"Oct 28, 2019","2.7355","2.7315","2.7315","2.7315","0.20K","0.29%"
"Oct 25, 2019","2.7275","2.7235","2.7235","2.7235","0.30K","0.24%"
"Oct 24, 2019","2.7210","2.7170","2.7170","2.7170","0.25K","-0.09%"
"Oct 23, 2019","2.7235","2.7195","2.7195","2.7195","0.75K","1.13%"
"Oct 22, 2019","2.6930","2.7000","2.7000","2.7000","0.00K","-0.26%"
"Oct 21, 2019","2.7000","2.6960","2.6960","2.6960","0.48K","0.41%"
"Oct 18, 2019","2.6890","2.6850","2.6850","2.6850","0.49K","1.32%"
"Oct 17, 2019","2.6540","2.6500","2.6500","2.6500","0.74K","0.25%"
"Oct 16, 2019","2.6475","2.6435","2.6435","2.6435","0.59K","-0.82%"
"Oct 15, 2019","2.6695","2.6655","2.6655","2.6655","0.45K","-0.69%"
"Oct 14, 2019","2.6880","2.6840","2.6840","2.6840","0.56K","0.22%"
"Oct 11, 2019","2.6820","2.6780","2.6780","2.6780","1.74K","0.64%"
"Oct 10, 2019","2.6650","2.6610","2.6610","2.6610","0.59K","1.54%"
"Oct 09, 2019","2.6245","2.6205","2.6205","2.6205","0.00K","-0.13%"
"Oct 08, 2019","2.6280","2.6240","2.6240","2.6240","1.60K","-0.25%"
"Oct 07, 2019","2.6345","2.6305","2.6305","2.6305","1.87K","0.57%"
"Oct 04, 2019","2.6195","2.6160","2.6160","2.6160","0.45K","0.29%"
"Oct 03, 2019","2.6120","2.6080","2.6080","2.6080","0.58K","-0.61%"
"Oct 02, 2019","2.6280","2.6250","2.6250","2.6250","0.97K","0.21%"
