Date,Open,High,Low,Close,null
20000607,1457.84009,1474.57007,1455.21997,1471.35986,0
20000608,1471.36011,1475.63989,1456.46997,1461.66992,0
20000609,1461.66992,1472.65991,1454.87988,1456.94995,0
20000612,1456.94995,1463.01001,1445.98999,1446,0
20000613,1446,1470.36011,1442.48999,1469.43994,0
20000614,1469.43994,1483.58008,1467.83984,1470.53979,0
20000615,1470.54004,1482.02002,1464.45996,1478.72998,0
20000616,1478.72998,1480.94995,1460.32983,1464.45996,0
20000619,1464.45996,1488.97998,1459,1486,0
20000620,1486,1487.21997,1470.22998,1475.94995,0
20000621,1475.94995,1482.23999,1468.48999,1479.12988,0
20000622,1479.12988,1479.12988,1448.05981,1452.17993,0
20000623,1452.17993,1459.82007,1438.34985,1441.47998,0
20000626,1441.47998,1462.34009,1441.47998,1455.30981,0
20000627,1455.31006,1463.3501,1450.5498,1450.5498,0
20000628,1450.55005,1467.62988,1450.5498,1454.81982,0
20000629,1454.82007,1455.16992,1434.63989,1442.38989,0
20000630,1442.38989,1454.68994,1438.78979,1454.59985,0
20000703,1454.6001,1469.83008,1450.78979,1469.53979,0
20000705,1469.54004,1469.54004,1442.47998,1446.22998,0
20000706,1446.22998,1461.6499,1439.59985,1456.66992,0
20000707,1456.66992,1485.1499,1456.66992,1478.8999,0
20000710,1478.8999,1486.5,1474.72998,1475.61987,0
20000711,1475.62012,1488.87988,1470.46997,1480.87988,0
20000712,1480.87988,1497.47998,1480.87988,1492.91992,0
20000713,1492.91992,1501.38989,1489.6499,1495.83984,0
20000714,1495.84009,1509.97998,1494.66992,1509.97998,0
20000717,1509.97998,1517.23999,1505.32983,1510.48999,0
20000718,1510.48999,1510.48999,1491.40991,1493.73999,0
20000719,1493.73999,1495.55005,1479.75977,1481.95996,0
20000720,1481.95996,1501.87988,1481.95996,1495.56982,0
20000721,1495.57007,1495.57007,1477.94995,1480.18994,0
20000724,1480.18994,1485.8501,1463.80981,1464.28979,0
20000725,1464.29004,1476.26001,1464.28979,1474.46997,0
